hydroID (GLAHF database),bottle/vial ID,stream name,TPmgL,TNmgL,SRPmgL,NitratemgL,NH4mgL,DINmgL,Flowlitersday,TPload_kgday,TNload_kgday,SRP percent of TP,DIN percent of TN,Load N:P,urban,barren,forest,shrubland,herbaceous,agriculture,wetland,Strahler order,Areakm2,damspresent,percentwater,percentTP,percentTN
2109492,1,no name,0.083625,0.79117,0.083625,0.444,0.224074,0.668074,3485929.578,0.291510861,2.757962904,100,84.44127052,20.92140954,68.92777559,0,15.55249705,1.350111417,3.598112466,0.294927251,10.27657622,1,13.779,no,0.006115044,0.010247724,0.004851051
2109486,2,sauk creek,0.257468,1.132793,0.23036,0.584456,0.065558,0.650014,22791163.7,5.867995336,25.8176707,89.47131294,57.38153396,9.729366379,14.0999417,0.054348363,3.676913803,0.454549946,0.359687349,77.70531329,3.649245546,3,91.224,no,0.039980434,0.206282529,0.04541136
2109483,3,sucker creek,0.385037,1.074872,0.361291,0.122832,0.187109,0.309941,7307755.268,2.813756165,7.85490152,93.83280048,28.83515433,6.173217031,15.25897541,0.018845997,2.336903603,0.248138958,0.23557496,78.95216258,2.949398499,1,28.7037,no,0.01281932,0.098914315,0.013816187
2109477,4,Barr Creek,0.594784,1.090002,0.525954,0.167758,0.120383,0.288141,6753673.975,4.016977221,7.36151814,88.42773175,26.43490562,4.05252104,20.79471649,0.153251113,2.295117857,0.105816245,1.087353134,68.73312413,6.830621032,2,24.7248,no,0.011847347,0.141212147,0.012948362
2109476,5,no name,0.083526,1.311216,0.061987,1.136372,0.121015,1.257387,912407.1073,0.076209716,1.196362798,74.21281996,95.89472673,34.71441227,18.43775876,0.027601435,2.677339222,0.690035882,1.159260282,63.64890974,13.35909467,1,3.2607,no,0.001600552,0.002679064,0.002104313
2109472,6,Black River,0.28765,0.849248,0.240689,0.002946,0.037237,0.040183,14378730.36,4.136041787,12.211108,83.67425691,4.731597837,6.528710558,27.69814183,0.034129693,5.58589306,0.176336746,0.424725066,50.45506257,15.62571104,2,47.5236,yes,0.025223279,0.145397723,0.02147843
2109470,7,Sheboygan River,0.152648,1.154547,0.139758,0.465884,0.10738,0.573264,350564276.4,53.51293566,404.7429336,91.55573607,49.65272094,16.725448,9.961867832,0.157891008,10.22547577,0.522062873,0.594204812,63.93039913,14.60809858,4,1126.8315,yes,0.614962542,1.881184813,0.711912681
2109468,8,Pigeon River,0.301859,0.899002,0.293435,0.344895,0.138046,0.482941,65053740.03,19.63705691,58.48344239,97.20929308,53.71968027,6.585879642,11.57883038,0.143146102,10.96534708,0.469003534,0.568583432,70.66260641,5.612483051,3,203.3235,yes,0.11411777,0.690317823,0.10286802
2109460,10,centerville creek,0.308803,6.624621,0.162228,6.54053,0.084091,6.624621,7115451.769,2.197272853,47.13717121,52.53446372,100,47.43913777,16.08668965,0.165258039,6.336465367,0.198309646,0.64686718,71.46701922,5.099390906,2,19.1385,yes,0.01248198,0.077242563,0.082910774
2109462,11,sevenmile creek,0.227299,5.264,0.192017,1.460982,0.199047,1.660029,9611723.75,2.184735197,50.59611382,84.47771438,31.53550532,51.21245747,11.07430042,0.022515278,4.509488582,0.070762303,0.63042779,78.41749759,5.275008041,2,28.0035,no,0.01686096,0.076801817,0.088994797
2109458,12,Fischer Creek,0.069925,3.427862,0.040266,3.403697,0.024165,3.427862,11346934.07,0.793434365,38.89572411,57.58455488,100,108.4047009,5.453114119,0.27553214,6.098040997,0.393617343,0.387561692,82.41438823,4.977745481,2,29.7711,no,0.019904879,0.027892259,0.068414682
2109456,13,Point Creek,0.121349,2.536305,0.105722,2.313117,0.069377,2.382494,21843062.46,2.650633787,55.40066854,87.12226718,93.93562683,46.21921199,6.405239198,0.159731651,4.523600351,0.372174746,0.420094242,80.25077869,7.86838112,2,56.412,no,0.038317268,0.093179938,0.097445651
2109455,14,Pine Creek,0.059851,5.874979,0.038169,5.786504,0.088475,5.874979,11094840.88,0.664037322,65.18195721,63.77337054,100,217.0661824,8.499408208,0.188733566,3.582738876,0.687757909,0.594990563,79.75432648,6.6920444,2,28.2276,no,0.019462655,0.023343457,0.114650209
2109453,15,Calvin Creek ,0.215858,2.87,0.16188,2.578376,0.084605,2.662981,7293370.206,1.574332306,20.93197249,74.99374589,92.78679443,29.40160296,8.99868312,0.102424036,3.570209238,1.760717944,1.555869873,69.83856021,14.17353558,2,18.6966,no,0.012794086,0.055343815,0.036817781
2109452,16,Silver Creek,0.181127,1.574351,0.141481,0.836331,0.096333,0.932664,24352005.98,4.410805786,38.33860496,78.11149083,59.24117303,19.22098462,12.92059603,0.152425995,3.797828998,0.995754865,0.556995926,73.47075415,8.105644035,2,63.819,no,0.042718476,0.155056731,0.067434751
2109449,17,Manitowac River,0.165048,1.517932,0.063779,0.199089,0.022692,0.221781,520590414.7,85.92240677,790.2208494,38.64269788,14.61073355,20.33758173,7.850644247,0.297446564,6.278795288,0.486261621,0.582786206,69.64629264,14.85777344,5,1368.0153,yes,0.913223698,3.020501953,1.389939631
2109448,18,Little Manitowac River,0.063047,1.474073,0.016004,0.966245,0.155458,1.121703,13585959.94,0.856554017,20.02669673,25.38423716,76.09548509,51.70253366,30.561601,1.278298937,3.727329581,0.205128205,1.265791119,58.34396498,4.617886179,2,36.0846,no,0.023832595,0.030111157,0.035225468
2109446,19,no name,0.112,1.020777,0.071999,0.56148,0.115334,0.676814,1626098.27,0.182123006,1.659883714,64.28482143,66.30380583,20.15441116,9.481216458,0,1.132975552,0.477042338,1.90816935,69.76744186,17.23315444,1,4.5279,no,0.002852514,0.006402322,0.002919612
2109445,20,east twin,0.079361,1.108053,0.003464,0.130971,0.01074,0.141711,264380914,20.98153372,292.9480649,4.364864354,12.78918969,30.87526281,7.77417443,0.28704503,8.896217861,1.028157696,0.637024453,71.19037711,10.18700342,5,788.1003,yes,0.463779027,0.737581336,0.515273832
2109444,21,molash creek,0.210947,1.075262,0.181493,0.092725,0.122843,0.215568,11498680.81,2.42561222,12.36409452,86.03725106,20.0479511,11.27192798,6.118660429,0.004950373,2.019751986,0.690576966,0.185638969,52.31306156,38.66735972,2,36.4203,no,0.020171074,0.085269567,0.021747522
2109435,22,no name,0.140462,6.752745,0.107715,6.653006,0.099739,6.752745,3747513.007,0.526383172,25.30599972,76.68622118,100,106.311137,4.995611962,0.020252481,1.464929454,0.850604199,0,85.16168231,7.506919598,1,13.3857,no,0.006573916,0.018504386,0.044511369
2109430,23,no name,0.07723,2.488126,0.050773,2.229518,0.118237,2.347755,1450942.158,0.112056263,3.610126907,65.74258708,94.35836449,71.24322905,5.940274415,0.0322841,0.920096852,0.629539952,0,91.23486683,1.242937853,1,5.5755,no,0.002545254,0.003939207,0.006349944
2109429,24,no name,0.051936,2.596884,0.031095,2.493086,0.103798,2.596884,1367643.68,0.071029942,3.55161199,59.87176525,100,110.5710193,5.805182027,0.016398819,3.788127255,0,0,87.48770089,2.902591013,1,5.4882,no,0.002399131,0.002496975,0.006247021
2109427,25,no name,0.119162,8.097311,0.104839,7.9861,0.111211,8.097311,5088634.535,0.606371868,41.2042564,87.9802286,100,150.2658516,5.820231856,0.067492457,3.390503414,0.349372717,0,86.25932984,4.113069716,2,22.6692,yes,0.008926522,0.021316295,0.072475219
2109419,26,no name,0.127418,1.552659,0.087911,0.608433,0.100592,0.709025,1089057.086,0.138765476,1.690934286,68.99417665,45.66521046,26.94651227,10.4387292,0.015128593,1.573373676,0.832072617,0,83.40393343,3.736762481,1,5.9958,no,0.001910432,0.004878138,0.002974227
2109417,27,kewaunee river,0.057314,0.886901,0.005952,0.328029,0.017937,0.345966,67290338.52,3.856678462,59.67986852,10.38489723,39.00841244,34.21934449,6.662635945,0.102637116,8.192928522,0.618504424,0.418593652,77.69166445,6.313035889,4,369.9585,yes,0.118041228,0.135577031,0.104972445
2109415,28,mashek creek,0.067906,0.745109,0.037991,0.090331,0.054967,0.145298,3074908.319,0.208804724,2.291141863,55.94645539,19.50023419,24.26436447,3.990312536,0.02306539,5.051320494,0.611232845,0,72.76554031,17.55852843,2,15.6078,yes,0.005394028,0.007340286,0.004029948
2109404,29,threemile creek,0.039503,2.362544,0.030727,2.289101,0.073443,2.362544,3766892.715,0.148803563,8.899449782,77.78396577,100,132.2534736,4.62585034,1.094104308,6.485260771,2.318594104,0.028344671,69.65419501,15.79365079,2,15.957,no,0.006607912,0.005231016,0.015653469
2109400,30,ahnapee river,0.041893,1.022675,0.004585,0.30564,0.056493,0.362133,80063885.97,3.354116375,81.87933458,10.94454921,35.41036986,53.98255531,6.350424224,0.13055335,6.919624934,0.531432429,0.09873283,71.53520628,14.43402595,4,303.3936,yes,0.140448683,0.117910047,0.144019652
2109391,31,silver creek,0.049669,4.721,0.030169,4.537012,0.043873,4.580885,4565174.72,0.226747663,21.55218985,60.74009946,97.03209066,210.1869968,4.948656959,0.011602947,2.610663108,1.537390497,0.150838313,65.2259674,25.51488078,1,15.5133,no,0.008008265,0.00797105,0.037908697
2109387,32,stony creek,0.148956,1.792506,0.114306,0.306356,0.047016,0.353372,19139965.96,2.85101277,34.30850383,76.73809716,19.71385312,26.61091926,4.572342126,0.001453383,7.945643485,0.876389797,0.180219461,63.63781702,22.78613473,2,61.9299,no,0.033575475,0.100224027,0.060346103
2109385,33,no name,0.05705,2.662263,0.026231,2.040736,0.057863,2.098599,1000355.838,0.057070301,2.663210335,45.97896582,78.82763649,103.1935536,7.361618432,0.02809778,1.882551278,1.348693453,0,76.42596235,12.95307671,1,3.2031,no,0.001754832,0.00200624,0.004684389
2109379,34,bear creek,0.018938,2.685489,0.007838,2.604637,0.034256,2.638893,4092068.931,0.077495601,10.9892061,41.38768613,98.26489701,313.5786791,5.708534043,0.007189589,3.810482421,1.495434611,0.086275074,79.5743763,9.317707959,1,12.5181,no,0.007178339,0.002724267,0.019329195
2109378,35,schuyler,0.070761,0.663537,0.007721,0.11922,0.02297,0.14219,2557411.423,0.18096499,1.696937104,10.91137774,21.4290989,20.73616519,5.29118907,0.023156188,4.133379646,0.856778974,0.254718073,81.76450156,7.676276485,1,7.7733,no,0.004486231,0.006361613,0.002984786
2109375,36,woodard creek,0.036792,1.605364,0.023932,1.317145,0.051577,1.368722,1944889.895,0.071556389,3.122256222,65.04674929,85.25929322,96.48890635,3.917590136,0.015607929,6.820664898,2.684563758,0.124863431,69.09630092,17.34040893,1,5.7663,no,0.003411741,0.002515481,0.005491816
2109373,37,Claybanks Creek,0.021555,2.726224,0.014298,2.692192,0.034032,2.726224,3154259.609,0.067990066,8.599218249,66.33263744,100,279.6860273,6.077835506,0.00980296,5.724928929,1.842956573,0.323497696,66.13077149,19.89020684,2,9.1809,no,0.005533226,0.002390111,0.015125385
2109365,38,Strawberry Creek,0.058535,1.50497,0.010854,0.785593,0.105588,0.891181,3300273.898,0.193181533,4.966813209,18.5427522,59.21586477,56.85510695,4.331987792,0,4.824259132,0.413507926,0,38.88943586,51.54080929,2,9.1413,no,0.005789366,0.006791071,0.008736255
2109352,39,no name,0.057482,1.767368,0.027878,1.614934,0.152434,1.767368,2304794.167,0.132484178,4.073419458,48.49866045,100,67.99114857,55.45043773,0,4.57497882,0,0.45184976,38.94380119,0.578932505,1,6.3747,no,0.004043088,0.004657327,0.007164842
2109350,40,big creek,0.012246,3.809474,0.008532,3.783008,0.026466,3.809474,8717591.331,0.106755623,33.20943752,69.67172954,100,687.9042925,9.465671867,0.056522722,8.165649258,0.998568091,0.48609541,71.27515261,9.552340041,2,23.8842,no,0.015292466,0.003752869,0.058412928
2109349,41,no name,0.054935,9.525383,0.045723,9.481752,0.043631,9.525383,3816096.854,0.209637281,36.3497841,83.23109129,100,383.4339635,6.745027125,0.13562387,2.974683544,0.235081374,0,58.83363472,31.07594937,2,9.954,no,0.006694226,0.007369554,0.063936563
2109345,42,lily bay creek,0.025094,3.135124,0.015853,3.116246,0.018878,3.135124,17608713.78,0.441873064,55.20550118,63.17446402,100,276.2753194,5.805016583,0.083411118,14.66248287,0.855956944,0.041705559,70.18846941,8.36295752,2,45.3177,no,0.030889341,0.015533532,0.097102366
2109341,43,shivering sands creek,0.016242,0.833723,0.007838,0.038654,0.032119,0.070773,12505792.69,0.203119085,10.426367,48.25760374,8.488790641,113.5114149,4.579601271,0.005778677,5.457960127,1.066165848,0.054897428,68.65067899,20.18491765,2,31.3929,no,0.021937757,0.007140414,0.018339203
2109325,44,whitefish bay creek,0.008804,0.885034,0.002811,0.329534,0.05194,0.381474,27971649.21,0.2462624,24.75586059,31.92866879,43.10275085,222.2988326,5.796077545,0.01554287,18.23461256,0.666930424,0.440852314,53.40812751,21.43785678,3,67.6458,yes,0.049068082,0.008657067,0.043543715
2109313,45,hibbard creek,0.011241,2.199208,0.004937,2.170307,0.028901,2.199208,23340562.61,0.262371264,51.33075201,43.91958011,100,432.6319804,6.425046679,0.02667378,16.97619365,0.426780475,0.513470259,55.84822619,19.78360896,3,54.0468,no,0.040944194,0.009223356,0.09028697
2109309,46,heins creek,0.014703,0.776935,0.002499,0.126387,0.1234,0.249787,18100677.54,0.266134262,14.06304991,16.99653132,32.15030858,116.8519569,7.205234742,0.136839748,20.28711467,0.626974846,0.584678924,56.81337546,14.3457816,2,40.9536,yes,0.031752347,0.009355639,0.024735858
2109284,47,reiboldt creek,0.011739,0.842129,0.002878,0.011217,0.012497,0.023714,16761853.56,0.196767399,14.11564298,24.5165687,2.815958125,158.637107,5.674989314,0.007543185,8.626888939,0.41487516,1.903396948,33.82866913,49.54363732,2,36.4563,yes,0.029403772,0.006917128,0.024828365
2109266,48,three springs,0.014065,0.531935,0.007397,0.282556,0.029452,0.312008,10863282.01,0.152792061,5.778559915,52.59153928,58.65528683,83.63269484,5.922211163,0.581885001,9.70063548,0.47852385,0.057422862,62.20044407,21.05887757,2,23.5098,no,0.019056453,0.005371227,0.010164057
2109274,49,fish creek,0.031167,0.645378,0.012398,0.058332,0.049419,0.107751,12527119.01,0.390432718,8.08472701,39.7792537,16.69579688,45.79060869,8.360595025,0.092586877,43.82136905,0.595642244,0.015431146,23.1220295,23.99234615,2,29.1618,yes,0.021975168,0.013725207,0.014220433
2109344,50,larson creek,0.117513,3.37,0.047712,1.807604,0.061157,1.868761,8978819.572,1.055128024,30.25862196,40.60146537,55.45284866,63.41635087,6.435130596,0.053596313,9.1506771,0.450209026,0.400185801,62.10383392,21.40636724,2,25.1991,no,0.015750714,0.037091795,0.053222663
2109348,51,May Creek,0.039272,0.850652,0.022177,0.307346,0.101539,0.408885,7043262.581,0.276603008,5.991365401,56.47025871,48.06724724,47.89896939,3.954345286,2.52089512,12.28093826,0.516761032,0.076390761,56.16518379,24.48548576,1,20.0619,no,0.012355345,0.009723656,0.010538366
2109357,52,Kreuger Creek,0.034658,0.687812,0.010635,0.056823,0.016072,0.072895,2949898.532,0.102237583,2.028975609,30.685556,10.59809948,43.8857487,3.865284974,0,6.704663212,0.373056995,0.051813472,78.03108808,10.97409326,1,8.685,no,0.005174735,0.003594043,0.003568817
2109362,53,Molvitz Creek,0.023879,1.723197,0.01101,0.749388,0.021979,0.771367,5333454.903,0.12735757,9.190593489,46.10745844,44.76371535,159.579116,3.722042001,0.005691196,13.25479483,0.591884355,0.028455979,51.23783507,31.15929657,1,15.8211,no,0.009355987,0.004477107,0.01616557
2109361,54,keyes creek,0.025431,0.9609,0.008252,0.069665,0.051798,0.121463,10683240.5,0.271685489,10.26552579,32.44858637,12.64054532,83.55491779,4.143662132,0.059764358,17.22067278,0.566338437,0.167909386,53.95583129,23.88582162,2,31.644,no,0.018740622,0.009550786,0.018056295
2109359,55,Twin Harbor Creek,0.085235,1.202286,0.03635,0.012897,0.043873,0.05677,3929281.233,0.334912286,4.724119817,42.64680002,4.721838232,31.19227745,5.272557851,0,12.16803852,1.125951235,0.031060724,67.47942227,13.92296941,2,11.5902,no,0.006892775,0.011773451,0.008309375
2109371,56,sugar creek,0.278484,1.007824,0.235696,0.08737,0.16058,0.24795,12429190.28,3.461330626,12.52643627,84.635383,24.60250996,8.002795306,7.05859833,0.066996866,4.62756921,0.36848276,0.291914914,84.93766899,2.648768933,2,37.6506,yes,0.021803381,0.121679039,0.022033069
2109382,57,renard creek,0.052961,9.064897,0.035515,8.9919,0.072997,9.064897,5543973.756,0.293614394,50.25555107,67.0587791,100,378.4983213,7.437180848,0.733100763,19.54092725,1.193184691,0.313463775,62.44501744,8.337125234,1,17.802,yes,0.009725281,0.010321671,0.088395772
2109383,58,fabry creek,0.064171,1.811943,0.044482,1.734822,0.077121,1.811943,2051422.972,0.131641864,3.717061494,69.31791619,100,62.44001305,7.006711409,1.22147651,23.97315436,0.711409396,1.677852349,60.7114094,4.697986577,1,6.705,no,0.003598622,0.004627716,0.006538034
2109392,59,red river,0.086721,5.175407,0.05053,5.127723,0.047684,5.175407,11861473.18,1.028638816,61.38795135,58.26731703,100,131.9706915,4.28710694,0.387675984,17.32299531,0.725475527,0.299258655,58.81112698,18.16636061,2,39.7251,no,0.020807487,0.036160597,0.107976835
2109395,60,no name,0.237742,2.984,0.12569,2.803387,0.032662,2.836049,1715284.918,0.407795267,5.118410196,52.86823531,95.04185657,27.75557109,9.964412811,0,7.148383104,0.402289958,0.247563051,81.66486152,0.572489556,1,5.8167,no,0.003008966,0.014335567,0.009002902
2109397,61,no name,0.15543,2.205461,0.10471,1.858011,0.126486,1.984497,2403437.28,0.373566256,5.300687187,67.36794699,89.98105158,31.37774983,7.926625903,0,6.37020567,0.25569761,0.311284047,80.83379655,4.302390217,1,8.1,no,0.004216128,0.013132286,0.009323514
2109407,62,no name,0.148912,0.636226,0.086539,0.069404,0.144924,0.214328,9839339.888,1.465195781,6.260043859,58.11418825,33.68740039,9.447980259,8.19179271,1.205678155,8.480039673,0.31614183,0.046491446,75.43392016,6.325936028,2,29.043,no,0.017260245,0.051507248,0.011010951
2109414,63,no name,0.053658,0.682893,0.040241,0.497355,0.058918,0.556273,2687712.969,0.144217302,1.835420372,74.99534086,81.45829581,28.14332724,32.88582487,0.03628447,7.740686986,0.205611998,0.737784228,45.17416546,13.21964199,1,7.4943,yes,0.004714807,0.005069791,0.003228368
2109413,64,fox river,0.145668,1.476482,0.038169,0.018405,0.008553,0.026958,6419485057,935.1135493,9478.254136,26.20273499,1.825826525,22.41409767,9.000175378,0.118548142,26.27638864,0.44955093,0.636179976,44.25628538,19.26287155,6,16468.8534,yes,11.26110992,32.87282571,16.67154323
2109402,65,suamico river,0.180798,1.307608,0.057544,0.005793,0.017733,0.023526,60396674.68,10.91959799,78.97517498,31.82778571,1.799163052,15.99341504,10.25583149,0.092852416,15.91880287,0.339603864,0.267271319,66.3746005,6.751037536,3,175.9743,no,0.10594831,0.383865726,0.138911452
2109396,66,no name,0.196446,0.943967,0.150931,0.003181,0.024613,0.027794,2143477.551,0.421077591,2.023372073,76.83078301,2.94438259,10.62602621,11.49072857,0.350416119,26.36881297,2.657322237,0.62782888,41.13009198,17.37479924,1,6.1884,no,0.003760105,0.014802491,0.003558961
2109394,67,no name,0.05737,1.153497,0.022046,0.364403,0.195593,0.559996,4095108.181,0.234936356,4.723695002,38.42774969,48.54767719,44.46198831,14.99577476,0,45.64799877,1.006376277,1.313666743,20.01997388,17.01620957,2,11.745,no,0.00718367,0.008258913,0.008308628
2109388,68,little suamico river,0.279384,0.888256,0.190947,0.112957,0.117866,0.230823,56260001.28,15.7181442,49.9732837,68.34571772,25.9860896,7.030624116,10.55774507,0.375290165,17.89472483,0.587460289,0.519018314,61.33199491,8.733766419,3,158.0949,no,0.098691726,0.552553019,0.087899285
2109386,69,tibbet creek,0.161281,0.998924,0.101284,0.044218,0.168645,0.212863,12499292.7,2.015898425,12.48584346,62.79970982,21.30922873,13.6964022,7.264879952,0.067195617,29.50921355,0.612513891,0.294626935,44.18628693,18.06528313,2,34.9533,no,0.021926355,0.070866557,0.021961669
2109374,70,no name,0.0298,1.915196,0.008931,1.871453,0.043743,1.915196,3363833.479,0.100242238,6.442400424,29.96979866,100,142.1196806,4.981420106,0.090388671,28.05061766,4.690167721,1.717384754,43.3263031,17.14371799,1,8.9838,no,0.005900862,0.003523899,0.011331703
2109368,71,pensaukee,0.132142,0.73551,0.100238,0.102642,0.069865,0.172507,138384548.1,18.28641096,101.783219,75.85627582,23.45406589,12.30849538,6.334529222,0.432327665,19.7434655,0.42956599,1.006253939,56.39315205,15.66070563,4,359.6715,no,0.242755236,0.64283744,0.179029103
2109366,72,no name (pecor point creek),0.063594,0.958589,0.019205,0.01019,0.020005,0.030195,4097631.378,0.26058477,3.927944365,30.19938988,3.149942259,33.33293529,4.511986301,0,51.37842466,3.535958904,1.267123288,5.077054795,34.22945205,1,10.521,no,0.007188096,0.009160554,0.006908962
2109351,73,no name,0.072349,0.991331,0.007788,0.013045,0.163401,0.176446,3809281.985,0.275597742,3.776259319,10.7644888,17.79889865,30.30005489,10.39924847,0.037576327,37.1723814,4.161578206,1.277595115,8.990136214,37.96148426,1,9.6327,no,0.006682272,0.009688317,0.006642159
2109342,74,oconto river,0.044956,0.700452,0.020627,0.184399,0.038232,0.222631,1041386160,46.81655622,729.4410187,45.8826408,31.78390525,34.45466073,5.218166101,0.022512193,41.96702656,0.884896759,1.27813159,21.82178284,28.80748396,5,2530.0449,yes,1.826807588,1.645781407,1.283032435
2109335,75,no name,0.116667,0.552097,0.075904,0.003196,0.033455,0.036651,8290233.544,0.967196677,4.577013069,65.06038554,6.638507364,10.46464783,9.960232207,0.118846277,9.722539654,0.868492024,0.950770215,57.06449696,21.31462266,1,19.7631,no,0.014542791,0.034000671,0.008050625
2109327,76,no name,0.275785,1.311063,0.157641,0.004557,0.035604,0.040161,9059422.537,2.498452844,11.87747369,57.16083181,3.063239524,10.51260099,6.688311688,0,14.16883117,0.593073593,1.12987013,50.69264069,26.72727273,2,20.8368,no,0.015892108,0.087830194,0.020891592
2109324,77,thomas slough,0.057221,1.332776,0.03146,0.005193,0.034526,0.039719,18268945.25,1.045367316,24.34841177,54.9798151,2.980170711,51.50613727,5.454703002,0.012997704,9.988735323,1.119968806,0.814522768,43.13937871,39.46969369,3,41.5629,no,0.032047524,0.036748668,0.042827043
2109321,78,no name,0.026234,1.207496,0.006337,0.005248,0.061468,0.066716,1293615.498,0.033936709,1.56203554,24.15567584,5.525152878,101.78375,1.905654483,0.031240237,35.70759138,1.21836926,0,12.96469853,48.17244611,1,2.8809,no,0.00226927,0.001193005,0.002747504
2109320,79,no name ,0.026389,0.929242,0.009498,0.524773,0.152775,0.677548,24039351.16,0.634374438,22.33837475,35.99226951,72.91405253,77.86874198,7.353440087,0.11874067,25.22899986,2.205183878,0.627629258,34.96743113,29.49857511,3,53.2566,no,0.042170014,0.022300693,0.039291538
